narrative_label,tweets_freq,retweet_chain_freq,botometer_en_freq,botometer_ar_freq
chemical_attacks-idlib-terrorism,14501,0,0,0
covert_operations-douma,13924,0,0,0
allegations_of_fraud-covert_operations-military_actions,17882,0,0,0
chemical_attacks-military_actions-terrorism-the_uk,8233,0,0,0
covert_operations-media-terrorism,1873,0,0,0
chemical_attacks-douma-media-military_actions,4631,0,0,0
chemical_attacks-covert_operations-military_actions-russia,9113,0,0,0
israel-media-terrorism,2271,0,0,0
funding-idlib-terrorism,2281,0,0,0
douma-media,9895,0,0,0
covert_operations-the_uk,12173,0,0,0
chemical_attacks-idlib-military_actions-russia-weapons,1376,0,0,0
allegations_of_fraud-idlib-military_actions,14098,0,0,0
chemical_attacks-douma-military_actions,46113,0,0,0
chemical_attacks-covert_operations,34955,0,0,0
covert_operations-media-propaganda,719,0,0,0
chemical_attacks-douma-russia-weapons,2356,0,0,0
allegations_of_fraud-chemical_attacks-idlib-military_actions-russia,4147,0,0,0
allegations_of_fraud-chemical_attacks-douma-military_actions,19747,0,0,0
allegations_of_fraud-chemical_attacks-covert_operations-military_actions,12976,0,0,0
allegations_of_fraud-chemical_attacks-idlib-military_actions,10940,0,0,0
allegations_of_fraud-chemical_attacks-military_actions-russia-the_uk,3758,0,0,0
chemical_attacks-douma-military_actions-russia-the_uk,2818,0,0,0
covert_operations-douma-military_actions,8447,0,0,0
chemical_attacks-idlib-military_actions-russia-terrorism,4182,0,0,0
allegations_of_fraud-chemical_attacks-idlib-military_actions-terrorism,4420,0,0,0
funding-funding_freezes-military_actions,2193,0,0,0
chemical_attacks-covert_operations-idlib-military_actions,8859,0,0,0
chemical_attacks-smear_campaign-weapons,1973,0,0,0
chemical_attacks-terrorism-the_us-weapons,1891,0,0,0
saving_lives-terrorism-the_us,975,0,0,0
chemical_attacks-the_uk-weapons,6842,0,0,0
douma-funding-funding_freezes-military_actions,1111,0,0,0
allegations_of_fraud-covert_operations-idlib-military_actions-russia-terrorism,3782,0,0,0
