narrative_label,captions_freq,channels_freq,comments_freq,comment_replies_freq,videos_freq
chemical_attacks-idlib-terrorism,11,0,1661,479,14
covert_operations-douma,5,0,520,176,6
allegations_of_fraud-covert_operations-military_actions,17,0,1352,452,19
chemical_attacks-military_actions-terrorism-the_uk,8,0,123,128,9
covert_operations-media-terrorism,4,0,461,110,5
chemical_attacks-douma-media-military_actions,12,0,895,302,15
chemical_attacks-covert_operations-military_actions-russia,16,0,981,430,18
israel-media-terrorism,2,0,34,25,4
funding-idlib-terrorism,1,0,105,47,1
douma-media,13,0,920,336,19
covert_operations-the_uk,6,0,243,175,6
chemical_attacks-idlib-military_actions-russia-weapons,7,0,670,280,10
allegations_of_fraud-idlib-military_actions,17,0,1768,721,18
chemical_attacks-douma-military_actions,32,0,3335,1148,43
chemical_attacks-covert_operations,22,0,1221,554,24
covert_operations-media-propaganda,1,0,9,5,1
chemical_attacks-douma-russia-weapons,6,0,238,190,9
allegations_of_fraud-chemical_attacks-idlib-military_actions-russia,13,0,1558,557,14
allegations_of_fraud-chemical_attacks-douma-military_actions,9,0,1423,543,17
allegations_of_fraud-chemical_attacks-covert_operations-military_actions,13,0,738,295,14
allegations_of_fraud-chemical_attacks-idlib-military_actions,17,0,1766,721,18
allegations_of_fraud-chemical_attacks-military_actions-russia-the_uk,3,0,342,208,5
chemical_attacks-douma-military_actions-russia-the_uk,2,0,7,2,4
covert_operations-douma-military_actions,5,0,518,148,6
chemical_attacks-idlib-military_actions-russia-terrorism,10,0,1647,469,12
allegations_of_fraud-chemical_attacks-idlib-military_actions-terrorism,7,0,1210,355,8
funding-funding_freezes-military_actions,7,0,632,97,7
chemical_attacks-covert_operations-idlib-military_actions,13,0,449,254,14
chemical_attacks-smear_campaign-weapons,2,0,23,14,2
chemical_attacks-terrorism-the_us-weapons,6,0,191,183,8
saving_lives-terrorism-the_us,10,0,750,270,13
chemical_attacks-the_uk-weapons,8,0,189,197,12
douma-funding-funding_freezes-military_actions,2,0,286,10,2
allegations_of_fraud-covert_operations-idlib-military_actions-russia-terrorism,3,0,35,10,4
